Position,Bib #,Athlete Name,Gender,Category,Club,Swim,Swim,T1,Bike,T2,Run,Gun Time, Time Difference
1,969,HENRY DAWSON,M,TS3,Thames Turbo Triathlon Club,,0:04:07,0:01:52,0:09:08,0:00:35,0:09:41,0:25:24,
2,976,Alex Yee,M,TS3,Crystal Palace Triathletes,,0:04:52,0:01:11,0:09:58,0:00:30,0:09:02,0:25:35,+00:00:11
3,989,Marcus Francis,M,TS3,OPTIMA RACING TEAM,,0:04:05,0:01:13,0:10:25,0:00:30,0:09:29,0:25:45,+00:00:21
4,993,DAVIN MCANDREW,M,TS3,HILLINGDON SWIMMING CLUB,,0:04:03,0:01:19,0:10:57,0:00:34,0:09:43,0:26:39,+00:01:15
5,995,ALICE HALL,F,TS3,AMERSHAM TRISTARS,,0:04:08,0:01:53,0:09:48,0:00:40,0:10:08,0:26:40,+00:01:16
6,997,EVANGELINE FOSTER,F,TS3,RG Active,,0:03:57,0:01:16,0:11:15,0:00:39,0:09:56,0:27:04,+00:01:40
7,979,NATALIE FALSHAW,F,TS3,Crystal Palace Triathletes,,0:05:00,0:01:15,0:13:30,0:00:36,0:09:25,0:29:49,+00:04:25
8,998,NOAH FOLEY,M,TS3,HILLINGDON SWIMMING CLUB,,0:03:52,0:01:34,0:13:49,0:00:35,0:09:59,0:29:50,+00:04:26
9,991,ADAM EFRAT,M,TS3,Crystal Palace Triathletes,,0:04:52,0:01:26,0:11:51,0:00:48,0:11:21,0:30:20,+00:04:56
10,970,ALEC THOMSON,M,TS3,Thames Turbo Triathlon Club,,0:05:09,0:01:35,0:11:56,0:00:44,0:10:58,0:30:23,+00:04:59
11,967,MARELLA WHITFIELD,F,TS3,Harrow AC,,0:05:52,0:01:37,0:12:23,0:00:39,0:09:52,0:30:24,+00:05:00
12,295,SAMUEL SINGER-RIPLEY,M,TS3,Crystal Palace Triathletes,,0:05:27,0:01:35,0:11:06,0:00:33,0:11:53,0:30:36,+00:05:12
13,964,DENNIS HOUSTON,M,TS3,THAMES TURBO,,0:04:51,0:01:29,0:12:16,0:00:40,0:11:19,0:30:37,+00:05:13
14,914,SAMUEL MILEHAM,M,TS3,,,0:05:13,0:01:40,0:12:28,0:00:36,0:11:16,0:31:14,+00:05:50
15,963,JESSICA WENLOCK,F,TS3,Thames Turbo Triathlon Club,,0:05:04,0:01:42,0:12:51,0:00:50,0:10:49,0:31:19,+00:05:55
16,956,Madeleine Nutt,F,TS3,Thames Turbos,,0:05:08,0:01:30,0:12:07,0:00:31,0:12:18,0:31:36,+00:06:12
17,936,MORRIS PUSEY,M,TS3,Crystal Palace Triathletes,,0:05:51,0:01:52,0:12:00,0:01:00,0:11:02,0:31:46,+00:06:22
18,965,Alice Hoolahan,F,TS3,Crystal Palace Triathletes,,0:05:12,0:01:25,0:12:42,0:00:45,0:11:46,0:31:53,+00:06:29
19,994,MARCUS TIGHE,M,TS3,,,0:04:31,0:01:41,0:12:49,0:00:34,0:12:23,0:31:59,+00:06:35
20,988,DAISY TREMLETT,F,TS3,,,0:04:14,0:02:09,0:13:32,0:00:41,0:11:33,0:32:11,+00:06:47
21,975,NATAN BLOOM,M,TS3,,,0:07:02,0:01:59,0:12:32,0:00:36,0:10:00,0:32:11,+00:06:47
22,960,MATTHEW OWERS,M,TS3,Tri Sport Epping/ RG Active,,0:05:29,0:01:41,0:12:53,0:00:42,0:11:36,0:32:23,+00:06:59
23,999,LEON BERCHIE,M,TS3,HILLINGDON SWIMMING CLUB,,0:03:44,0:01:45,0:13:47,0:00:30,0:12:39,0:32:27,+00:07:03
24,984,SAM MACKERNESS,M,TS3,HILLINGDON SWIMMING CLUB,,0:04:11,0:02:25,0:14:31,0:00:42,0:10:53,0:32:44,+00:07:20
25,952,ISABELLA WATERIDGE,F,TS3,Thames Turbo Triathlon Club,,0:05:44,0:01:34,0:13:40,0:00:35,0:11:15,0:32:51,+00:07:27
26,294,Toby Mcdermott,M,TS3,,,0:07:28,0:01:31,0:12:26,0:00:36,0:10:50,0:32:54,+00:07:30
27,962,JOANNA GUILDFORD,F,TS3,THAMES TURBO,,0:05:01,0:01:29,0:13:10,0:00:32,0:12:44,0:32:59,+00:07:35
28,961,LEVI CHOUTAN,M,TS3,,,0:05:32,0:02:00,0:14:39,0:00:36,0:10:19,0:33:08,+00:07:44
29,978,SOPHIE CHESTERMAN,F,TS3,,,0:04:41,0:01:53,0:14:23,0:00:37,0:11:45,0:33:21,+00:07:57
30,977,GHAZI JABRE,M,TS3,OPTIMA RACING TEAM,,0:05:16,0:02:15,0:13:38,0:00:42,0:11:35,0:33:27,+00:08:03
31,946,HARRISON DAVIES,M,TS3,,,0:07:08,0:02:17,0:10:15,0:01:18,0:12:51,0:33:51,+00:08:27
32,949,Isobel Chant,F,TS3,THAMES TURBO,,0:04:51,0:01:22,0:15:46,0:00:37,0:11:37,0:34:14,+00:08:50
33,987,DANIEL GRIMWADE,M,TS3,,,0:04:28,0:02:01,0:15:34,0:00:38,0:11:37,0:34:20,+00:08:56
34,925,HENRY MUNRO,M,TS3,,,0:05:10,0:01:38,0:15:21,0:00:37,0:11:40,0:34:28,+00:09:04
35,972,MADELEINE FRAME,F,TS3,Thames Turbo Triathlon Club,,0:05:51,0:01:25,0:13:05,0:00:57,0:13:30,0:34:50,+00:09:26
36,958,CLARE WOLFENDALE,F,TS3,Thames Turbo Triathlon Club,,0:06:07,0:01:26,0:13:14,0:00:40,0:13:31,0:35:00,+00:09:36
37,968,EVANGELINA PERDONI,F,TS3,Thames Turbo Triathlon Club,,0:05:47,0:01:43,0:14:33,0:00:38,0:12:27,0:35:10,+00:09:46
38,983,ROBIN BROMMAGE,M,TS3,,,0:04:16,0:02:12,0:12:22,0:00:37,0:15:51,0:35:19,+00:09:55
39,948,Tashan Allman,M,TS3,,,0:06:13,0:02:13,0:14:50,0:00:42,0:11:59,0:36:00,+00:10:36
40,901,MARIA HILL,F,TS3,Harrow AC,,0:06:43,0:03:13,0:14:38,0:00:37,0:11:11,0:36:24,+00:11:00
41,900,JAMES ALEXANDER,M,TS3,,,0:06:47,0:02:10,0:13:56,0:00:40,0:13:20,0:36:56,+00:11:32
42,992,JOSH OWEN,M,TS3,Thames Turbo Triathlon Club,,0:05:52,0:01:37,0:14:29,0:00:42,0:15:16,0:37:58,+00:12:34
43,985,RACHEL RABIN,F,TS3,,,0:06:11,0:02:45,0:14:44,0:00:42,0:14:59,0:39:24,+00:14:00
44,966,CHERIE CHENG,F,TS3,ISL,,0:06:45,0:02:20,0:14:25,0:00:52,0:15:24,0:39:48,+00:14:24
