Position,Bib #,Athlete Name,Gender,Category,Club,Swim,T1,Lap1,Lap2,Cycle,T2,Run,Gun Time, Time Difference
1,180,"Mack DOWNEY",M,TS1,"Thames Turbo Triathlon Club",00:02:21,00:01:20,00:03:19,,00:03:13,00:00:32,00:04:30,00:15:18,
2,171,"Matthew O'NEIL",M,TS1,"Thames Turbo Triathlon Club",00:02:55,00:01:28,00:03:17,,00:03:14,00:00:40,00:04:36,00:16:14,+00:00:56
3,177,"Henry Wareing",M,TS1,"HILLINGDON SWIMMING CLUB",00:02:38,00:01:33,00:03:17,,00:03:26,00:00:34,00:04:48,00:16:19,+00:01:01
4,168,"Henri Wright",M,TS1,"Thames Turbo Triathlon Club",00:03:05,00:01:22,00:03:19,,00:03:28,00:00:45,00:05:00,00:17:01,+00:01:43
5,167,"Alexandra FISKER-VAN VEEN",F,TS1,"Crystal Palace Triathletes",00:02:50,00:01:23,00:03:37,,00:03:38,00:00:35,00:05:05,00:17:09,+00:01:51
6,175,"Theo Mcchesney",M,TS1,"Latymer Prep",00:03:13,00:01:37,00:03:37,,00:03:11,00:00:36,00:05:01,00:17:18,+00:02:00
7,157,"LOTTIE HULL",F,TS1,"Crystal Palace Triathletes",00:02:59,00:01:30,00:03:36,,00:03:49,00:00:41,00:05:13,00:17:51,+00:02:33
8,183,"Alec Stinton",M,TS1,"AMERSHAM TRISTARS",00:03:02,00:01:34,00:03:28,,00:03:22,00:00:41,00:05:46,00:17:55,+00:02:37
9,178,"Luke Butland",M,TS1,NULL,00:02:48,00:01:56,00:03:52,,00:03:44,00:00:40,00:04:53,00:17:56,+00:02:38
10,149,"Ryan MULLEN",M,TS1,"THAMES TURBO",00:03:31,00:01:41,00:03:31,,00:03:42,00:00:37,00:04:53,00:17:58,+00:02:40
11,162,"Katie Painter",F,TS1,NULL,00:03:06,00:01:28,00:03:58,,00:03:54,00:00:32,00:04:58,00:17:58,+00:02:40
12,176,"Dylan Dyson-Diaz",M,TS1,"Harrow Swimming Club",00:02:49,00:01:23,00:03:56,,00:03:59,00:00:42,00:05:27,00:18:18,+00:03:00
13,161,"Poppy Craig-Mcfeely",F,TS1,NULL,00:03:21,00:01:22,00:03:51,,00:03:46,00:00:39,00:05:24,00:18:26,+00:03:08
14,131,"Grace BOWDEN-STONE",F,TS1,"OPTIMA RACING TEAM",00:03:33,00:01:16,00:03:54,,00:03:49,00:00:32,00:05:20,00:18:28,+00:03:10
15,165,"Sarah Nabney",F,TS1,"Jetstream Tri Club",00:02:53,00:01:32,00:04:07,,00:03:52,00:00:40,00:05:37,00:18:42,+00:03:24
16,166,"Sophie Painter",F,TS1,NULL,00:03:29,00:01:23,00:03:56,,00:04:00,00:00:35,00:05:27,00:18:52,+00:03:34
17,147,"Nathan Goodger",M,TS1,"Thames Turbo Triathlon Club",00:03:56,00:01:44,00:03:31,,00:03:42,00:00:37,00:05:27,00:19:00,+00:03:42
18,150,"Tallulah Penney",F,TS1,"THAMES TURBO",00:03:34,00:01:28,00:04:00,,00:03:59,00:00:43,00:05:14,00:19:00,+00:03:42
19,156,"Joshua Carmody",M,TS1,NULL,00:03:29,00:02:11,00:03:50,,00:03:38,00:00:36,00:05:18,00:19:03,+00:03:45
20,172,"Jessica BUTLAND",F,TS1,NULL,00:03:09,00:02:03,00:03:58,,00:03:59,00:00:41,00:05:19,00:19:11,+00:03:53
21,174,"Alfie Bridgen",M,TS1,"Hillingdon Triathletes",00:03:01,00:01:52,00:03:44,,00:03:50,00:00:42,00:06:13,00:19:24,+00:04:06
22,125,"George Gould",M,TS1,NULL,00:04:11,00:01:38,00:03:39,,00:03:52,00:00:40,00:05:29,00:19:32,+00:04:14
23,151,"Isobel Goodger",F,TS1,"Thames Turbo Triathlon Club",00:03:47,00:01:35,00:03:58,,00:03:48,00:00:41,00:05:41,00:19:32,+00:04:14
24,155,"Phoebe Fennell",F,TS1,"Thames Turbos",00:03:43,00:01:39,,,00:04:01,00:04:25,00:05:54,00:19:44,+00:04:26
25,127,"Thalia BOWDEN-STONE",F,TS1,"OPTIMA RACING TEAM",00:04:10,00:01:18,00:04:13,,00:04:04,00:00:38,00:05:29,00:19:54,+00:04:36
26,146,"Spencer BATEMAN",M,TS1,"Thames Turbo Triathlon Club",00:04:19,00:01:39,00:04:09,,00:04:05,00:00:39,00:05:31,00:20:24,+00:05:06
27,160,"Jacob Boyden",M,TS1,NULL,00:03:13,00:01:42,00:04:36,,00:04:13,00:00:35,00:06:05,00:20:27,+00:05:09
28,169,"Gregory Finn",M,TS1,NULL,00:03:05,00:01:50,00:04:33,,00:04:11,00:00:39,00:06:36,00:20:56,+00:05:38
29,148,"Joe Marchant",M,TS1,NULL,00:03:45,00:01:44,00:04:23,,00:04:21,00:01:00,00:05:50,00:21:04,+00:05:46
30,154,"Kiran Mistry",M,TS1,"Harrow Swimming Club",00:03:25,00:02:44,00:03:58,,00:03:49,00:00:50,00:06:17,00:21:04,+00:05:46
31,163,"Ciaran Smith",M,TS1,NULL,00:03:58,00:02:58,,,00:03:49,00:04:28,00:06:12,00:21:28,+00:06:10
32,152,"HANNO SIE",M,TS1,NULL,00:03:38,00:02:00,00:04:35,,00:04:42,00:00:40,00:06:16,00:21:53,+00:06:35
33,170,"Aaliyah Ansari",F,TS1,"Harrow Swimming Club",00:03:31,00:02:06,00:04:36,,00:04:39,00:00:42,00:06:19,00:21:54,+00:06:36
34,140,"Joseph Cinnamon",M,TS1,"Hertford RFC",00:04:10,00:02:38,00:04:09,,00:04:18,00:00:47,00:06:08,00:22:12,+00:06:54
35,182,"Daisy Cook",F,TS1,NULL,00:03:45,00:02:11,00:04:36,,00:04:47,00:00:46,00:06:23,00:22:31,+00:07:13
36,124,"Vasily Malashich",M,TS1,NULL,00:03:48,00:02:20,00:04:38,,00:04:41,00:00:45,00:06:18,00:22:32,+00:07:14
37,143,"Rosie Watts",F,TS1,"Thames Turbo Triathlon Club",00:04:00,00:02:11,00:04:35,,00:04:48,00:00:49,00:06:09,00:22:34,+00:07:16
38,145,"Theo Silverbeck",M,TS1,NULL,00:03:09,00:02:49,00:04:32,,00:04:46,00:01:08,00:06:15,00:22:41,+00:07:23
39,122,"Purab Garb",M,TS1,"St Lukes Hospice",00:04:15,00:02:12,00:04:17,,00:04:26,00:00:51,00:06:41,00:22:43,+00:07:25
40,181,"Emily Driver",F,TS1,NULL,00:02:40,00:01:40,00:05:25,00:05:28,00:01:47,,00:05:48,00:22:50,+00:07:32
41,137,"Beck Easton",M,TS1,"ESC D3 TRIATHLON",00:05:26,00:01:58,00:04:40,,00:04:41,00:00:50,00:05:54,00:23:32,+00:08:14
42,138,"Hazel Dickinson",F,TS1,NULL,00:05:02,00:03:45,00:04:01,,00:04:27,00:01:04,00:05:14,00:23:35,+00:08:17
43,159,"Sasha Maisuria",F,TS1,"Jetstream Tri Club",00:04:53,00:02:09,00:04:51,,00:04:55,00:00:41,00:06:48,00:24:20,+00:09:02
44,164,"Emma Clarke",F,TS1,NULL,00:04:00,00:02:11,00:05:14,,00:05:08,00:00:45,00:07:04,00:24:24,+00:09:06
45,139,"Tabitha Woddis",F,TS1,"Thames Turbo Triathlon Club",00:04:26,00:02:38,00:04:40,,00:04:45,00:00:56,00:07:06,00:24:33,+00:09:15
46,144,"Keshini Emmanuel",F,TS1,"Harrow Swimming Club",00:03:32,00:02:08,00:05:25,,00:05:37,00:00:47,00:07:30,00:25:01,+00:09:43
47,158,"Anya Maisuria",F,TS1,"Jetstream Tri Club",00:03:01,00:02:10,00:05:37,,00:05:12,00:00:44,00:08:32,00:25:19,+00:10:01
48,134,"Kamilah Adey",F,TS1,NULL,00:04:21,00:02:59,00:05:04,,00:05:05,00:00:53,00:07:02,00:25:28,+00:10:10
49,142,"Olivia-Poppy Alderton",F,TS1,NULL,00:04:58,00:02:03,00:05:38,,00:05:38,00:00:38,00:06:57,00:25:55,+00:10:37
50,129,"Lottie Thorpe",F,TS1,"Thames Turbo Triathlon Club",00:05:42,00:02:19,00:04:41,,00:04:41,00:00:47,00:08:08,00:26:19,+00:11:01
51,133,"Tess Copley",F,TS1,NULL,00:04:49,00:02:36,00:05:31,,00:05:52,00:00:48,00:07:36,00:27:14,+00:11:56
52,130,"Erin Perkins",F,TS1,NULL,00:04:44,00:02:59,00:05:39,,00:05:53,00:00:56,00:07:12,00:27:25,+00:12:07
53,123,"Carolina Bromfman",F,TS1,NULL,00:04:05,00:02:16,00:06:50,,00:06:17,00:00:47,00:07:18,00:27:36,+00:12:18
54,128,"Kabir Dulai",M,TS1,NULL,00:04:22,00:03:06,00:05:56,,00:06:24,00:01:01,00:08:10,00:29:02,+00:13:44
