Pos,Race No,Fav,Name,Time,Gender,Gen Pos,Club,TOD,Swim,T1,Cycle,T2,Run
1,374,,Michael Eagling,00:25:54,Male,1,Crystal Palace Triathletes,13:34:55,00:04:31,00:00:41,00:11:00,00:00:33,00:09:06
2,339,,Zak Wort,00:26:00,Male,2,,13:24:07,00:04:59,00:00:32,00:10:47,00:00:33,00:09:07
3,368,,Gregory Atkins,00:26:21,Male,3,Optima Racing Team,13:34:05,00:04:44,00:00:32,00:11:30,00:00:29,00:09:03
4,378,,Abel Sinko-Uribe,00:26:45,Male,4,Camden Swiss Cottage Swimming Club,13:36:23,00:04:34,00:00:59,00:11:15,00:00:30,00:09:25
5,373,,Ben Scott,00:26:56,Male,5,Hillingdon Triathletes,13:35:28,00:04:41,00:00:23,00:11:54,00:00:34,00:09:21
6,363,,Reef Boericke,00:27:54,Male,6,Crystal Palace Triathletes,13:35:21,00:04:58,00:00:28,00:11:26,00:00:31,00:10:27
7,356,,Freya Thomson,00:28:23,Female,1,Thames Turbo Triathlon Club,13:31:53,00:05:05,00:00:26,00:12:05,00:00:34,00:10:10
8,360,,Kieran Desmond,00:28:41,Male,7,,13:35:17,00:05:25,00:00:24,00:12:23,00:00:37,00:09:49
9,376,,Alice Patterson,00:28:41,Female,2,Thames Turbo Triathlon Club,13:37:30,00:04:32,00:00:35,00:11:56,00:00:24,00:11:10
10,354,,Elle Horsman,00:28:53,Female,3,Crystal Palace Triathletes,13:31:46,00:04:51,00:00:37,00:11:55,00:00:36,00:10:52
11,345,,Aaron Westwood,00:29:36,Male,8,Spartan Tri Club,13:31:11,00:05:48,00:00:39,00:11:53,00:00:43,00:10:30
12,379,,Grace Dempsey,00:29:48,Female,4,Hillingdon swimming club,13:39:40,00:04:34,00:00:53,00:12:53,00:00:46,00:10:39
13,358,,siana dennis,00:29:51,Female,5,London Fire Brigade,13:34:14,00:05:04,00:00:28,00:12:53,00:00:24,00:10:59
14,312,,Sam Southall,00:30:00,Male,9,,13:15:33,00:05:58,00:00:47,00:12:51,00:00:30,00:09:51
15,353,,Bill Downey,00:30:16,Male,10,Thames Turbo Triathlon Club,13:33:00,00:04:56,00:00:42,00:13:52,00:00:26,00:10:18
16,346,,Isabel Atkins,00:30:32,Female,6,Optima Racing Team,13:32:18,00:05:48,00:00:42,00:12:52,00:00:31,00:10:36
17,340,,Tom Williamson,00:30:44,Male,11,Jetstream Tri Club,13:29:51,00:05:20,00:01:11,00:12:29,00:00:25,00:11:16
18,372,,Lucas Dyson-Diaz,00:31:03,Male,12,The Borough of Harrow Swimming Club,13:39:14,00:04:28,00:01:14,00:14:09,00:00:32,00:10:38
19,365,,Laura Howley,00:31:11,Female,7,Thames Turbo Triathlon Club,13:38:20,00:05:08,00:00:42,00:13:51,00:00:24,00:11:03
20,359,,Ethan Mullen,00:31:14,Male,13,Thames Turbo Triathlon Club,13:37:43,00:06:13,00:00:40,00:13:13,00:00:30,00:10:36
21,357,,Nathan Wilson,00:31:34,Male,14,Thames Turbo Triathlon Club,13:35:14,00:05:04,00:00:47,00:13:39,00:00:32,00:11:30
22,367,,Gabrielle Icmat,00:31:37,Female,8,Thames Turbo Triathlon Club,13:38:56,00:04:59,00:00:37,00:14:51,00:00:30,00:10:37
23,301,,lawson bowles,00:31:47,Male,15,Thames Turbo Triathlon Club,13:16:27,00:06:13,00:00:48,00:12:54,00:00:46,00:11:04
24,369,,Samuel Painter,00:32:00,Male,16,MedwayTri,13:40:22,00:05:05,00:00:32,00:15:25,00:00:29,00:10:27
25,327,,Jack Bloom,00:32:01,Male,17,Shaftsbury Barnet Harriers,13:26:58,00:07:40,00:01:32,00:11:57,00:00:27,00:10:22
26,334,,Sam Freedman,00:32:20,Male,18,Thames Turbo Triathlon Club,13:28:38,00:05:37,00:00:47,00:13:50,00:00:41,00:11:22
27,335,,Joseph Yee,00:32:26,Male,19,Crystal Palace Triathletes,13:29:01,00:06:03,00:00:43,00:12:25,00:00:51,00:12:21
28,336,,Jess Walters,00:32:38,Male,20,,13:30:33,00:05:44,00:01:11,00:15:03,00:00:31,00:10:07
29,350,,Harry Horsman,00:33:29,Male,21,Crystal Palace Triathletes,13:35:48,00:05:35,00:00:29,00:11:11,00:00:37,00:15:34
30,380,,Katie Chapman,00:33:29,Female,9,Hillingdon swimming club,13:45:00,00:05:21,00:00:39,00:14:33,00:00:32,00:12:21
31,332,,Ruby Penney,00:33:41,Female,10,Thames Turbo Triathlon Club,13:29:41,00:06:08,00:00:42,00:15:16,00:00:28,00:11:04
32,377,,Alice Smail,00:33:49,Female,11,Thames Turbo Triathlon Club,13:43:03,00:04:30,00:00:42,00:15:24,00:00:40,00:12:30
33,347,,Sophie Peters,00:33:51,Female,12,Jetstream Tri Club,13:35:52,00:05:24,00:00:59,00:16:02,00:00:25,00:10:58
34,328,,jessica Wilkinson,00:33:56,Female,13,Highgate Harriers,13:29:09,00:05:50,00:02:02,00:13:29,00:00:32,00:11:59
35,341,,Charlie Davies,00:34:02,Male,22,Thames Turbo Triathlon Club,13:35:12,00:05:37,00:01:10,00:14:33,00:00:35,00:12:03
36,322,,Carys Hindley,00:34:18,Female,14,Optima Racing Team,13:26:10,00:05:51,00:01:00,00:14:30,00:00:54,00:12:00
37,343,,Katie Barkshire,00:34:54,Female,15,Jetstream Tri Club,13:35:55,00:05:56,00:00:48,00:15:51,00:00:32,00:11:45
38,316,,zak copley,00:35:03,Male,23,,13:22:03,00:07:09,00:01:17,00:14:00,00:00:30,00:12:04
39,323,,Sumer Eaglestone,00:36:11,Female,16,Crystal Palace Triathletes,13:25:40,00:05:57,00:01:05,00:15:37,00:00:48,00:12:41
40,362,,Jack Merritt,00:36:16,Male,24,Thames Turbo Triathlon Club,13:26:36,00:08:06,00:01:20,00:14:34,00:00:38,00:11:36
41,329,,Callum Goodger,00:36:34,Male,25,Thames Turbo Triathlon Club,13:32:05,00:05:55,00:00:38,00:15:30,00:00:37,00:13:52
42,317,,Sinead Browne,00:36:48,Female,17,,13:24:02,00:06:58,00:01:04,00:16:14,00:00:31,00:11:58
43,361,,Lauren Hamer,00:38:05,Female,18,Epping Tri club,13:43:48,00:06:21,00:00:51,00:17:42,00:00:32,00:12:36
44,331,,Ella Rowe,00:38:14,Female,19,Thames Turbo Triathlon Club,13:34:07,00:06:01,00:01:09,00:16:03,00:00:43,00:14:14
45,304,,Stanley Mcdowell,00:38:15,Male,26,,13:31:12,00:08:24,00:02:03,00:15:35,00:00:47,00:11:24
46,352,,Sam Deal,00:38:19,Male,27,,13:40:50,00:06:43,00:01:12,00:17:26,00:00:42,00:12:13
47,303,,Joe Robertson,00:39:34,Male,28,Hatch End,13:24:38,00:08:05,00:01:47,00:15:43,00:00:43,00:13:13
48,338,,Abi Morris,00:39:46,Female,20,Crystal Palace Triathletes,13:39:39,00:06:06,00:00:55,00:16:24,00:00:39,00:15:39
49,318,,Callum loveless,00:39:47,Male,29,,13:27:45,00:06:16,00:02:11,00:15:40,00:00:35,00:15:02
50,315,,Ellie Carroll,00:39:59,Female,21,Jetstream Tri Club,13:26:45,00:08:14,00:01:01,00:18:29,00:00:32,00:11:39
51,306,,Tom Hemmings,00:40:07,Male,30,,13:25:04,00:07:25,00:01:27,00:18:14,00:00:40,00:12:18
52,308,,Kane Foster,00:40:10,Male,31,ESC D3 Ealing Triathletes,13:25:23,00:09:00,00:01:11,00:14:43,00:00:51,00:14:22
53,355,,Sarah Freegard,00:40:10,Female,22,ESC D3 Ealing Triathletes,13:43:20,00:06:05,00:00:44,00:19:32,00:00:46,00:13:01
54,319,,Emma Butler,00:41:01,Female,23,,13:29:49,00:06:16,00:01:22,00:19:04,00:00:33,00:13:43
55,326,,Grace Shute,00:41:28,Female,24,,13:36:11,00:07:24,00:02:09,00:18:16,00:00:50,00:12:47
56,311,,Oscar Wheeler,00:42:55,Male,32,,13:29:18,00:07:12,00:02:01,00:18:06,00:00:58,00:14:35
57,313,,Karishma Dulai,00:43:47,Female,25,Hillingdon swim club,13:29:48,00:05:54,00:01:12,00:19:19,00:00:45,00:16:34
58,302,,Charlie Mcdowell,00:45:10,Male,33,,13:37:48,00:09:09,00:01:53,00:18:33,00:00:39,00:14:55
59,320,,Niall kelly,00:45:14,Male,34,Jetstream,13:34:14,00:10:28,00:01:47,00:17:43,00:00:46,00:14:27
60,324,,Gidon Rosalki,00:45:33,Male,35,,13:37:51,00:07:40,00:02:04,00:17:25,00:00:40,00:17:40
61,314,,Amy O'Connor,00:50:42,Female,26,Jetstream Tri Club,13:37:19,00:08:02,00:01:45,00:22:38,00:00:44,00:17:29
62,325,,Kiyana Patel,00:53:00,Female,27,Jetstream Tri Club,13:47:16,00:07:30,00:02:22,00:25:09,00:00:50,00:17:06
63,321,,Georgina Barker roberts,00:53:03,Female,28,,13:41:39,00:08:15,00:02:12,00:21:26,00:00:40,00:20:28
999999,300,,Rohan Patel,Not started,Male,999999,,,99:99:99,99:99:99,99:99:99,99:99:99,99:99:99
999999,305,,Timothy Wiles,Not started,Male,999999,,,99:99:99,99:99:99,99:99:99,99:99:99,99:99:99
999999,307,,Aisling Kershaw,Not started,Female,999999,,,99:99:99,99:99:99,99:99:99,99:99:99,99:99:99
999999,310,,Jonah Weiniger,Not started,Male,999999,,,99:99:99,99:99:99,99:99:99,99:99:99,99:99:99
999999,330,,ROLLO WODDIS,Not started,Male,999999,Thames Turbo Triathlon Club,,99:99:99,99:99:99,99:99:99,99:99:99,99:99:99
999999,333,,Shiva Basu,Not started,Female,999999,Hillingdon Triathletes,,99:99:99,99:99:99,99:99:99,99:99:99,99:99:99
999999,337,,Katie Thirkettle,Not started,Female,999999,Jetstream Tri Club,,99:99:99,99:99:99,99:99:99,99:99:99,99:99:99
999999,342,,Sam Beadle,Not started,Male,999999,Crystal Palace Triathletes,,99:99:99,99:99:99,99:99:99,99:99:99,99:99:99
999999,348,,Oliver Mcchesney,Not started,Male,999999,,,99:99:99,99:99:99,99:99:99,99:99:99,99:99:99
999999,349,,Georgia de Gidlow,Not started,Female,999999,Jetstream Tri Club,,99:99:99,99:99:99,99:99:99,99:99:99,99:99:99
999999,351,,Abigail Ballard,Not started,Female,999999,,,99:99:99,99:99:99,99:99:99,99:99:99,99:99:99
999999,364,,George Kerry,Not started,Male,999999,ESC D3 Ealing Triathletes,,99:99:99,99:99:99,99:99:99,99:99:99,99:99:99
999999,366,,Sarah Brunton,Not started,Female,999999,Cambridge Triathlon Club,,99:99:99,99:99:99,99:99:99,99:99:99,99:99:99
999999,370,,Amy-Rose Reeves,Not started,Female,999999,Hillingdon Triathletes,,99:99:99,99:99:99,99:99:99,99:99:99,99:99:99
999999,371,,MATTHEW KOSSATZ,Not started,Male,999999,,,99:99:99,99:99:99,99:99:99,99:99:99,99:99:99
999999,375,,Ennis Barnett,Not started,Male,999999,,,99:99:99,99:99:99,99:99:99,99:99:99,99:99:99
999999,309,,James Dobbin,Started,Male,999999,,,00:11:47,99:99:99,99:99:99,99:99:99,99:99:99
